timestamp,date,time,open,high,low,close,volume
2020-08-22 09:00:00,22/08/2020,09:00:00,2.92,5.1,2.92,4.465,34281718.6
2020-08-23 09:00:00,23/08/2020,09:00:00,4.482,4.5,3.706,3.993,23021804.0
2020-08-24 09:00:00,24/08/2020,09:00:00,3.993,4.81,3.755,4.594,27131790.2
2020-08-25 09:00:00,25/08/2020,09:00:00,4.585,5.776,4.492,5.56,54379664.2
2020-08-26 09:00:00,26/08/2020,09:00:00,5.56,6.598,5.102,6.092,51031902.3
2020-08-27 09:00:00,27/08/2020,09:00:00,6.092,6.828,5.23,5.668,75224186.8
2020-08-28 09:00:00,28/08/2020,09:00:00,5.658,6.388,5.511,6.179,33421289.7
2020-08-29 09:00:00,29/08/2020,09:00:00,6.186,6.571,6.018,6.144,24587097.5
2020-08-30 09:00:00,30/08/2020,09:00:00,6.148,6.237,5.721,5.899,20792243.5
2020-08-31 09:00:00,31/08/2020,09:00:00,5.898,6.479,5.762,6.275,22653228.3
2020-09-01 09:00:00,01/09/2020,09:00:00,6.275,6.889,6.125,6.253,24095350.4
2020-09-02 09:00:00,02/09/2020,09:00:00,6.254,6.46,5.51,6.136,27104128.0
2020-09-03 09:00:00,03/09/2020,09:00:00,6.144,6.339,5.55,5.68,40503527.5
2020-09-04 09:00:00,04/09/2020,09:00:00,5.68,5.995,4.467,5.105,46084440.4
2020-09-05 09:00:00,05/09/2020,09:00:00,5.102,5.315,3.55,4.145,48012193.8
2020-09-06 09:00:00,06/09/2020,09:00:00,4.145,4.946,3.726,4.789,33884882.7
2020-09-07 09:00:00,07/09/2020,09:00:00,4.789,4.836,4.001,4.598,22395692.9
2020-09-08 09:00:00,08/09/2020,09:00:00,4.598,4.632,4.108,4.274,15114305.5
2020-09-09 09:00:00,09/09/2020,09:00:00,4.268,4.8,4.132,4.706,15706478.6
2020-09-10 09:00:00,10/09/2020,09:00:00,4.707,4.9,4.442,4.577,14627909.7
2020-09-11 09:00:00,11/09/2020,09:00:00,4.578,4.744,4.294,4.651,12384407.3
2020-09-12 09:00:00,12/09/2020,09:00:00,4.65,5.304,4.499,5.143,23105202.5
2020-09-13 09:00:00,13/09/2020,09:00:00,5.143,5.481,4.77,5.33,28970409.1
2020-09-14 09:00:00,14/09/2020,09:00:00,5.33,5.584,5.089,5.365,21796482.8
2020-09-15 09:00:00,15/09/2020,09:00:00,5.363,5.452,5.044,5.062,15695368.3
